"1.1a  Bevolking buurten, 1 januari 2014-2018",,,,,,,
,,,,,2018,,
M27c Parooldriehoek,210,193,384,518,522,237,285
M28a Oosterparkbuurt Noordwest,3743,3878,3953,3941,3916,1925,1991
M28b Oosterpark,124,122,120,123,127,65,62
M28c Oosterparkbuurt Zuidoost,3692,3739,3732,3747,3766,1864,1902
M28d Oosterparkbuurt Zuidwest,2911,3057,3152,3095,3087,1575,1512
M29a Dapperbuurt Noord,4137,4193,4183,4320,4353,2129,2224
M29b Dapperbuurt Zuid,3663,3644,3685,3710,3820,1899,1921
M29c Oostpoort,608,1107,1387,1725,1896,941,955
M30a Transvaalbuurt West,4110,4118,4109,4116,4143,2040,2103
M30b Transvaalbuurt Oost,4953,4997,5317,5297,5202,2549,2653
M31a Noordwestkwadrant Indische Buurt Noord,4090,4063,3945,3844,3776,1950,1826
M31b Noordwestkwadrant Indische Buurt Zuid,4488,4480,4493,4695,4722,2340,2382
M31c Zuidwestkwadrant Indische Buurt,4154,4125,4152,4129,4159,2086,2073
M32a Noordoostkwadrant Indische Buurt,5768,5818,6119,6034,6065,3045,3020
M32b Zuidoostkwadrant Indische Buurt,3792,3848,3767,3746,3680,1848,1832
M32c Zeeburgerdijk Oost,470,469,473,463,455,226,229
M32d Flevopark,14,21,20,21,18,10,8
M33a Oostelijke Handelskade,1388,1391,1485,1454,1472,788,684
M33b Rietlanden,2228,2243,2252,2503,2492,1235,1257
M33c Java-eiland,3260,3217,3207,3216,3137,1552,1585
M33d KNSM-eiland,2485,2422,2434,2429,2397,1257,1140
M33e Sporenburg,2673,2678,2667,2657,2641,1304,1337
M33f Borneo,2888,2850,2888,2891,2874,1424,1450
M33g Entrepot-Noordwest,1544,1547,1531,1485,1463,727,736
M33h Architectenbuurt,1835,1806,1836,1811,1772,892,880
M33i Bedrijvengebied Veelaan,42,36,37,40,39,16,23
M33j Bedrijvengebied Cruquiusweg,20,20,16,18,114,70,44
M33k Bedrijvengebied Zeeburgerkade,146,148,142,142,151,77,74
M34a Zeeburgereiland Noordwest,25,17,22,25,25,13,12
M34c Zeeburgereiland Zuidoost,364,370,404,522,503,232,271
M34d Zeeburgereiland Zuidwest,350,332,322,321,316,169,147
M34e Nieuwe Diep/Diemerpark,78,84,72,78,71,41,30
M34f RI Oost terrein,17,186,384,1232,2225,1146,1079
M34g Zeeburgereiland Noordoost,-,-,-,-,1,1,-
M35a Steigereiland Noord,1374,1443,1489,1481,1437,728,709
M35b Steigereiland Zuid,2629,2624,2612,2616,2671,1355,1316
M35c Haveneiland Zuidwest/Rieteiland West,2832,2841,2891,2877,2819,1429,1390
M35e Haveneiland Noordwest,2380,2416,2484,2478,2512,1232,1280
M35f Haveneiland Noordoost,4944,4910,4955,5079,5384,2654,2730
M50a Strandeiland,-,-,-,-,-,-,-
M50b Middeneiland Zuidoost,-,-,-,-,-,-,-
M50c Middeneiland Noordoost,-,-,-,-,-,-,-
M50d Middeneiland Zuidwest,-,-,-,-,-,-,-
M50e Middeneiland Noordwest,-,-,-,-,-,-,-
M50f Buiteneiland,-,-,-,-,-,-,-
M50g Centrumeiland,-,-,-,-,-,-,-
M51a Rieteiland Oost,121,122,128,165,268,125,143
M51b Haveneiland Oost,4698,4864,5110,5684,6017,2931,3086
M51c Haveneiland Noord,1753,1772,1771,1817,1813,841,972
M55b De Eenhoorn,1429,1979,2377,2430,2422,1269,1153
M55c Julianapark,829,812,821,807,779,397,382
M55d Don Bosco,1985,1962,2091,2122,2151,1082,1069
M55e Frankendael,17,16,15,15,12,3,9
M55f Tuindorp Amstelstation,846,830,812,827,831,385,446
M55g De Wetbuurt,1812,1833,1863,1849,1850,844,1006
M55h Tuindorp Frankendael,2372,2396,2476,2470,2200,1112,1088
M55i Van der Kunbuurt,568,542,549,552,562,287,275
M56a Linnaeusparkbuurt,2537,2528,2542,2570,2577,1268,1309
M56b Middenmeer Noord,2986,3018,3001,3026,2998,1399,1599
M56c Middenmeer Zuid,5103,5158,5201,5181,5154,2460,2694
M56d Sportpark Middenmeer Zuid,310,312,301,306,302,133,169
M56e Sportpark Middenmeer Noord,1,2,2,2,2,1,1
M56f Park De Meer,1672,1669,1666,1660,1645,789,856
M56g Sportpark Voorland,-,-,-,-,-,-,-
M56h Science Park Noord,2266,2486,2550,2787,2743,1270,1473
M56i Science Park Zuid,45,41,45,45,34,19,15
M57a Betondorp,3141,3170,3209,3228,3247,1513,1734
M57b Nieuwe Oosterbegraafplaats,6,6,6,6,6,4,2
M57c Drieburg,-,-,-,-,-,-,-
M58b Weespertrekvaart,1213,1245,1266,1584,1416,790,626
M58e Amstelglorie,78,80,88,79,80,43,37
M58f Overamstel,40,42,44,40,40,23,17
M58g Amstelkwartier Noord,371,716,1188,1382,1747,880,867
M58h De Omval,744,737,738,737,729,384,345
M58i Amstelkwartier Zuid,28,32,34,31,30,17,13
M58j Amstelkwartier West,75,70,565,575,562,274,288
N60a Van der Pekbuurt,4835,4866,4803,4869,4957,2438,2519
N60b Bloemenbuurt Zuid,2368,2416,2423,2476,2437,1198,1239
N60c Bloemenbuurt Noord,2386,2397,2429,2386,2366,1185,1181
N61a IJplein e.o.,2533,2509,2543,2520,2490,1307,1183
N61b Vogelbuurt Zuid,4302,4315,4309,4339,4322,2120,2202
N61c Vogelbuurt Noord,1268,1295,1279,1293,1272,644,628
N61d Vliegenbos,103,107,115,137,172,96,76
N62a Tuindorp Nieuwendam West,1048,1051,1066,1078,1044,482,562
N62b Tuindorp Nieuwendam Oost,2406,2448,2454,2461,2484,1166,1318
N63a Blauwe Zand,1847,1871,1866,1925,1910,933,977
N64a Buiksloterdijk West,155,152,157,154,146,68,78
N64b Buiksloterdijk Oost,129,123,126,120,127,59,68
N64c Nieuwendammerdijk West,1057,1055,1064,1060,1055,528,527
N64d Nieuwendammerdijk Oost,342,340,336,344,360,179,181
N64e Nieuwendammerdijk Zuid,10,9,7,7,7,4,3
N65a Tuindorp Oostzaan West,1141,1145,1172,1175,1180,535,645
N65b Tuindorp Oostzaan Oost,4179,4195,4184,4201,4224,1938,2286
N65c Terrasdorp,3947,3922,3980,3977,3982,1994,1988
N65d De Bongerd,1431,1614,1832,1995,2145,1078,1067
N66b Oostzanerdijk,370,370,358,407,404,197,207
N66c Walvisbuurt,1479,1449,1420,1432,1438,709,729
N66d Twiske West,2474,2452,2468,2462,2433,1223,1210
N66e Noorder IJplas,139,136,131,137,145,79,66
N66f Molenwijk,2956,2992,3017,3092,3129,1444,1685
N66g Circus/Kermisbuurt,1309,1340,1370,1372,1344,676,668
N67a Kadoelen,1715,1741,1916,1943,2002,955,1047
N67b Twiske Oost,1120,1102,1120,1131,1116,541,575
N68a Baanakkerspark Noord,589,581,601,577,580,290,290
N68b Baanakkerspark Zuid,446,432,449,464,459,227,232
N68c Werengouw Midden,4821,4935,4961,4990,5007,2438,2569
N68d Markengouw Midden,3692,3760,3901,3728,3434,1697,1737
N68e Markengouw Zuid,1784,1745,1786,1882,2059,1019,1040
N68f Werengouw Zuid,1581,1602,1613,1634,1640,774,866
N69a Rode Kruisbuurt,234,237,230,227,222,106,116
N69c Loenermark,1564,1517,1550,1522,1519,755,764
N69j Buikslotermeerplein,965,965,972,990,997,474,523
N69k Plan van Gool,2863,2774,2870,3070,3126,1515,1611
N69l De Kleine Wereld,2842,2848,2844,2848,2820,1348,1472
N69m Buikslotermeer Noord,2479,2478,2490,2464,2489,1164,1325
N70a Banne Zuidwest,3458,3622,3754,3750,3710,1722,1988
N70b Banne Zuidoost,3143,3318,3452,3586,3603,1833,1770
N70c Banne Noordwest,2649,2625,2630,2641,2641,1281,1360
N70d Banne Noordoost,3634,3599,3648,3672,3651,1811,1840
N70e Buiksloterbreek,326,322,329,328,332,170,162
N70f Marjoleinterrein,347,354,373,390,372,189,183
N71c Papaverweg e.o.,182,221,301,632,876,487,389
