HOTELNAAM_2014,NHC_2014,KAM_2014,BED_2014,STRAAT_2014,HUISID_2014,POSTCODE_2014,BRTK10,unesco,Soort_hotel_hostel/ jeugdherberg
INTERNATIONAL BUDGET HOSTEL,0,14,68,LEIDSEGRACHT,76,1016CR,A06h,K,hostel/ jeugdherberg
FALCON PLAZA HOTEL,3,50,113,VALKENBURGERSTRAAT,72,1011LZ,A04f,B,hotel
HANS BRINKER HOTEL,0,126,502,KERKSTRAAT,136-138,1017GR,A03c,K,hotel
PARKLANE HOTEL,2,13,26,PLANTAGE PARKLAAN,16,1018ST,A08c,B,hotel
EUROPA 92 HOTEL,3,46,94,1E C HUYGENSSTR,103-105,1054BV,E22a,,hotel
BEST WESTERN DAM SQUARE INN,3,38,83,GRAVENSTRAAT,12-16,1012NM,A01e,B,hotel
SEVEN BRIDGES HOTEL,2,9,17,REGULIERSGRACHT,31,1017LK,A03d,K,hotel
"QUENTIN HOTEL AMSTERDAM,THE",0,30,65,LEIDSEKADE,89,1017PN,A07b,B,hotel
CITIZENM HOTEL AMSTERDAM CITY,4,215,430,PRINSES IRENESTRAAT,30,1077WX,K59a,,hotel
TORENZICHT HOTEL,1,21,49,OUDEZIJDS ACHTERBURGWAL,93,1012DD,A00c,B,hotel
FLIPPER HOTEL,2,24,53,BORSSENBURGSTRAAT,5,1078VA,K53b,,hotel
VERDI HOTEL,2,12,25,WANNINGSTRAAT,9,1071LA,K47c,,hotel
"BLOEIENDE RAMENAS, HOTEL CAFE",1,11,28,HAARLEMMERDIJK,61,1013KB,A05c,K,hotel
OOSTERPARK HOTEL,1,9,19,OOSTERPARK,72,1092AS,M28c,,hotel
ROKIN HOTEL,3,21,50,ROKIN,73,1012KL,A00d,B,hotel
GREENHOUSE HOTEL,2,9,19,WARMOESSTRAAT,55,1012HW,A00a,B,hotel
ASTERISK HOTEL,2,42,96,DEN TEXSTRAAT,16,1017ZA,A07f,B,hotel
ROYAL TASTE HOTEL,1,11,24,OUDEZIJDS ACHTERBURGWAL,47,1012DB,A00c,B,hotel
CRYSTAL HOTEL,2,17,34,TWEEDE HELMERSSTRAAT,6,1054CH,E20a,,hotel
ACOSTAR HOTEL,2,30,61,KERKSTRAAT,45-49,1017GB,A02e,K,hotel
ORFEO HOTEL,0,19,37,LEIDSEKRUISSTRAAT,14,1017RH,A07c,K,hotel
ANNEMARIE HOTEL,0,11,28,JAN WILLEM BROUWERSSTR,14,1071LJ,K47c,,hotel
IRIS HOTEL,1,9,24,SARPHATIKADE,17,1017WV,A07h,B,hotel
"ZWAAN HOTEL,DE",0,8,14,DORPSWEG RANSDORP,70,1028BR,N73f,,hotel
RESIDENCE LE COIN HOTEL,3,42,77,NIEUWE DOELENSTRAAT,5,1012CP,A00e,B,hotel
CITY HOTEL UTRECHTSESTRAAT,0,13,52,UTRECHTSESTRAAT,2,1017VN,A03e,K,hotel
MARNIX HOTEL,0,25,74,MARNIXSTRAAT,382,1016XX,A06j,B,hotel
EDEN HOTEL AMSTERDAM,3,218,409,AMSTEL,144,1017AE,A03e,B,hotel
EDEN REMBRANDT SQUARE HOTEL,4,167,331,AMSTELSTRAAT,17,1017DA,A03e,K,hotel
HOTEL DWARS,3,9,24,UTRECHTSEDWARSSTRAAT,79,1017WD,A07g,K,hotel
VIJAYA HOTEL,1,31,64,OUDEZIJDS VOORBURGWAL,44,1012GE,A00b,B,hotel
PRINSEN HOTEL,3,45,87,VONDELSTRAAT,36-38,1054GE,E22a,,hotel
CANAL HOUSE,4,23,49,KEIZERSGRACHT,148,1015CX,A02b,K,hotel
VOYAGERS HOTEL,0,11,25,GELDERSEKADE,2,1012BH,A00a,B,hotel
"DEUTSCHES SEEMANNNSHEIM, STICHTING",0,6,8,KEIZERSGRACHT,733,1017DZ,A03d,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
DOWNTOWN HOTEL,2,24,65,KERKSTRAAT,25,1017GA,A02e,K,hotel
BOUTIQUE HOTEL PATOU,3,12,24,P CORNELISZ HOOFTSTR,63,1071BN,K47b,,hotel
ALP HOTEL,2,15,33,DE CLERCQSTRAAT,52,1052NH,E17a,,hotel
VAN ONNA HOTEL,1,41,86,BLOEMGRACHT,102-108,1015TN,A06c,B,hotel
REMCO HOTEL,3,180,420,REIMERSWAALSTRAAT,5,1069AE,F82a,,hotel
AMSTERDAM APARTMENTS ALEXANDER'S,0,6,23,RUYSDAELKADE,109,1072AN,K24d,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
CROYDON HOTEL,0,9,23,WARMOESSTRAAT,75,1012HX,A00b,B,hotel
ACACIA HOTEL,1,20,47,LINDENGRACHT,251,1015KH,A06b,B,hotel
DES ARTS HOTEL,2,22,55,ROKIN,154-156,1012LE,A01h,B,hotel
TOREN HOTEL,4,38,76,KEIZERSGRACHT,164,1015CZ,A02b,K,hotel
LA BOHEME HOTEL,2,18,39,MARNIXSTRAAT,415,1017PK,A07b,B,hotel
CC HOTEL,3,81,158,WARMOESSTRAAT,40-42,1012JE,A00a,B,hotel
SHELTER JORDAN CHRISTIAN HOSTEL,0,14,98,BLOEMSTRAAT,179,1016LA,A06c,B,hostel/ jeugdherberg
BOB'S YOUTH HOSTEL,0,16,138,NIEUWEZIJDS VOORBURGWAL,92,1012SG,A01d,B,hostel/ jeugdherberg
"FLYING PIG UPTOWN HOSTEL,THE",0,20,118,VOSSIUSSTRAAT,46,1071AJ,K47b,,hostel/ jeugdherberg
"FLYING PIG DOWNTOWN HOSTEL,THE",0,29,182,NIEUWENDIJK,100,1012MR,A01c,B,hostel/ jeugdherberg
ARENA HOTEL,4,116,232,'S-GRAVESANDESTRAAT,51,1092AA,M28b,,hotel
HOTEL FITA,3,15,27,JAN LUIJKENSTRAAT,37,1071CL,K47b,,hotel
"LEIDSEPLEIN HOTEL,HET",1,12,40,KORTE LEIDSEDWARSSTRAAT,79,1017PW,A07a,B,hotel
NL HOTEL AMSTERDAM,3,13,26,NASSAUKADE,368,1054AB,E20a,,hotel
WINSTON HOTEL,2,67,183,WARMOESSTRAAT,129,1012JA,A00b,B,hotel
AROZA HOSTEL,0,9,29,NIEUWENDIJK,23,1012LZ,A01b,B,hostel/ jeugdherberg
SEBASTIAN'S HOTEL,3,34,71,KEIZERSGRACHT,15-17,1015CC,A02a,K,hotel
ART GALLERY HOTEL,2,18,34,WETERINGSCHANS,67,1017RX,A07d,B,hotel
STAYOKAY AMSTERDAM STADSDOELEN,0,13,176,KLOVENIERSBURGWAL,97,1011KB,A04h,B,hostel/ jeugdherberg
STAYOKAY AMSTERDAM VONDELPARK,0,105,536,ZANDPAD,5,1054GA,E22a,,hostel/ jeugdherberg
LEIDSESQUARE LUXURY SUITES,0,5,20,LEIDSEPLEIN,13-17,1017PS,A07c,B,"B&B, pension, appartamenten, guesthouse, boerenkamer"
POSTHOORN B&B,0,3,6,PRINSENGRACHT,7,1015DK,A02a,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
CANAL VIEW APARTMENTS LEX,0,4,8,LEIDSEGRACHT,74,1016CR,A06h,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
SASHA B&B AMSTERDAM CITY CENTER,0,3,6,VIJZELSTRAAT,71,1017HG,A03c,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
WEST VIOLET B&B,0,3,6,VIOLETTENSTRAAT,4,1015NP,A06b,K,"B&B, pension, appartamenten, guesthouse, boerenkamer"
IJ B&B,0,5,10,ZEEBURGERDIJK,17 HS,1093SK,M29a,,"B&B, pension, appartamenten, guesthouse, boerenkamer"
"LOOIER HOTEL,DE",3,28,68,DERDE LOOIERSDWARSSTRAAT,75,1016VD,A06g,B,hotel
GROENENDAEL HOTEL,0,16,30,NIEUWENDIJK,15,1012LZ,A01b,B,hotel
HOTEL THE EXCHANGE,3,61,122,DAMRAK,49-51,1012LL,A01e,B,hotel
A-TRAIN HOTEL,3,34,73,PRINS HENDRIKKADE,23,1012TM,A01b,B,hotel
TITUS HOTEL,0,19,53,LEIDSEKADE,74,1017PM,A07b,B,hotel
THE TIMES HOTEL,3,33,69,HERENGRACHT,137,1015BG,A02b,K,hotel
WESTCORD FASHION HOTEL AMSTERDAM,4,260,531,HENDRIKJE STOFFELSTRAAT,1,1058GC,F87b,,hotel
AMISTAD HOTEL,2,8,14,KERKSTRAAT,42,1017GM,A02e,K,hotel
TRAVEL HOTEL,2,30,81,BEURSSTRAAT,23,1012JV,A00b,B,hotel
MEETING POINT HOSTEL,0,10,111,WARMOESSTRAAT,14,1012JD,A00a,B,hostel/ jeugdherberg
PRINSENGRACHT HOTEL,3,34,64,PRINSENGRACHT,1015-1017,1017KN,A03c,K,hotel
FRISCO INN HOTEL,1,11,22,BEURSSTRAAT,5,1012JT,A00b,B,hotel
"VETERAN,THE",0,12,28,HERENGRACHT,561,1017BW,A03c,K,hostel/ jeugdherberg
MY HOME HOTEL,1,8,16,HAARLEMMERSTRAAT,82,1013EV,A05b,K,hotel
IBIS AMSTERDAM CENTRE,3,363,786,STATIONSPLEIN,49,1012AB,A01a,B,hotel
MULTATULI HOTEL,3,29,54,PRINS HENDRIKKADE,12,1012TL,A01b,B,hotel
