,OBJECTID_1,text,created,Description,longitude,latitude,hashtag,statusSour
75,90.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Reanimatie Albert Cuypstraat Amsterdam
 https://t.co/btjthqtizs",2019-06-24,non-tourist,4.889255,52.354745,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
76,91.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Haarlemmermeerstraat Amsterdam
 https://t.co/tvMzhaaY7R",2019-06-18,non-tourist,4.850295,52.355205,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
77,92.0,#celebrating #completing #project #festive #culinairy #experience petit_caron #amsterdam #whereelse @ De Pijp https://t.co/JcrlZ0IQ79,2019-06-20,tourist,4.89080872,52.35556889,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
78,93.0,herring... Amsterdam style #albertcuyp #herring #nom #amsterdam #pickles #onions #netherlands @ Albert Cuypmarkt https://t.co/2c5NcmhRhA,2019-06-23,tourist,4.89369924,52.35567748,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
79,95.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Amsteldijk Amsterdam
 https://t.co/hqAgtCP9PL",2019-06-18,non-tourist,4.905245,52.35568,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
80,96.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Amstelveenseweg Amsterdam
 https://t.co/o67eT9s4Hi",2019-06-20,non-tourist,4.8547513,52.3562059,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
81,97.0,"Revisitando antiguos #proyectos. Hoy el segundo @PortoMarinaNL en #amsterdam #iamsterdam. #faqeuropeantour
.
. https://t.co/UzzjbNBR9r",2019-06-19,non-tourist,4.82684707,52.35640295,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
82,98.0,"Revisitando antiguos #proyectos. Hoy el segundo @PortoMarinaNL en #amsterdam #iamsterdam. #faqeuropeantour
.
. https://t.co/HpNLr4Byrr",2019-06-19,non-tourist,4.82684707,52.35640295,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
83,100.0,"Doing his best Begbie impression....
.
.
.
.
.
#malemodel #model #craig #begbie #trainspotting #lean #lampost https://t.co/uDWz27PxuP",2019-06-15,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
84,101.0,Matching colours #fiba #3×3 #basketball #australia #france #worldchampionship #oogvoornoordholland #amsterdam #logo https://t.co/kY2pzP4KVW,2019-06-21,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
85,102.0,"#3x3 #basketball #worldcup match #USA vs #netherlands last few seconds 
#Amsterdam @ Museumplein, Amsterdam https://t.co/3PGi8z24xZ",2019-06-22,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
86,103.0,Dunkin' Franklin #dunking #3x3wc #Amsterdam #oogvoornoordholland #museumplein #dunk #noordholland #teamnl https://t.co/03cIwIp8T1,2019-06-22,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
87,104.0,Nieuwe vaas #sunflower #zonnebloemen #3x3wc #Amsterdam  #museumplein #bank #flowers #streetart #sunflowers https://t.co/wmn0EnHo0D,2019-06-25,tourist,4.88204956,52.35741328,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
88,107.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 5 Demonstratie Museumplein Amsterdam
 https://t.co/1nR8JhMV8T",2019-06-17,non-tourist,4.883183,52.357512,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
89,108.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Museumplein Amsterdam
 https://t.co/JFeyJqcImh",2019-06-25,non-tourist,4.883183,52.357512,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
90,109.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Bedrijf/Instelling Willemsparkweg Amsterdam
 https://t.co/8e7Nd1Kkzv",2019-06-18,non-tourist,4.876425,52.35756,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
