,OBJECTID_1,text,created,Description,longitude,latitude,hashtag,statusSour
36,49.0,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-01 Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuispad Amsterda https://t.co/GN5ANo7Iee",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
37,50.0,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 2 BAD-01 Aflossen - Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuisp https://t.co/171W2xhXyJ",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
38,51.0,Tussen afspraken door mooie inspirerende architectuur wandeling door Amsterdam-Zuidas. #afspraken #inspirerende https://t.co/ATW62dvMSE,2019-06-19,tourist,4.87331594,52.33934717,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
39,53.0,rematec_photos  @rematec #amsterdam #shinewithus @ RAI Amsterdam https://t.co/y5orsuhHEu,2019-06-23,non-tourist,4.88909264,52.34137708,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
40,54.0,It is always good to stay learning...if you can... from the best. #cruyfffootball 's Individual skills training was https://t.co/OssRk35SoI,2019-06-20,non-tourist,4.854191999999999,52.343419,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
41,55.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Laan der Hesperiden Amsterdam
 https://t.co/skLENV9RZY",2019-06-20,non-tourist,4.856907,52.345348,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
42,56.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Stadionweg Amsterdam
 https://t.co/5SDmCQBAui",2019-06-19,non-tourist,4.864355000000001,52.34605,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
43,57.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Stadionweg Amsterdam
 https://t.co/eAkxV1WUq8",2019-06-19,non-tourist,4.864355000000001,52.34605,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
44,58.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Stadionweg Amsterdam
 https://t.co/OCGzWE1iiq",2019-06-19,non-tourist,4.864355000000001,52.34605,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
45,59.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Minervaplein Amsterdam
 https://t.co/NlJOz2lDlm",2019-06-20,non-tourist,4.87253,52.346377000000004,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
