"","formatted_address","name","place_id","lat","lng"
"378","Bijlmerplein 100, 1102 DA Amsterdam, Netherlands","FD-printing center Amsterdam (formerly webdrukdesign)","ChIJayw62pELxkcRrWjgJ1HHqWA",52.3145219,4.950978
"380","1102 DJ Amsterdam, Netherlands","Zaibunissa Slagerij","ChIJQRajX44LxkcRI9DMcAKFXtE",52.314716,4.9548732
"384","Bijlmerplein 555, 1102 DS Amsterdam, Netherlands","Ringfoto de Boer","ChIJs9Q2YY4LxkcRr3Es4_0oNiI",52.3150837,4.9546828
"387","Bijlmerdreef 250A, 1102 AB Amsterdam, Netherlands","DISTUDIOS - Fotografie","ChIJOWqg2Y0LxkcRvJOEQ9JV4y4",52.3164484,4.9542735
"399","Harriët Freezerstraat 106, 1103 JP Amsterdam, Netherlands","Bonita's Cigars BV","ChIJb_o-ewsMxkcRbeBrJBbvaTM",52.3228642,4.9725726
"401","Anna Blamansingel 251, 1102 SX Amsterdam, Netherlands","Pouchi","ChIJWQgsMJILxkcR9o4-OjhRiIU",52.3170957,4.9494275
"411","1101 DJ Amsterdam, Netherlands","Ziggo Shop In Shop Arena","ChIJ7eacYG0LxkcReC5PGWnqifw",52.313161,4.944893
"413","Kruidenhof 2, 1112 PS Diemen, Netherlands","Avondverkoop Diemen","ChIJ0Zgt_foLxkcRY-O5FxXLwmA",52.3345291,4.9579116
"415","Bijlmerplein 355, 1102 DK Amsterdam, Netherlands","TK Maxx","ChIJdTbDOo4LxkcRPfgDlbP9nE0",52.3144019,4.9525338
"418","Amsterdamse Poort, Bijlmerplein 508, 1102 CP Amsterdam, Netherlands","Coffee Fellows","ChIJMVjLaY4LxkcRTRtMu12guNI",52.3149366,4.9539623
"436","Bijlmerdreef 1169 hs, 1103 TT Amsterdam, Netherlands","Beauty & Health Ganzenhoef","ChIJBShFnwwMxkcR1IQU-9ENZYA",52.3221158,4.9732716
"442","Harriët Freezerstraat 107, 1103 JP Amsterdam, Netherlands","Al-Mekka Slagerij","ChIJOWEcewsMxkcRGlPYzs40ztE",52.322892,4.972473
"454","Sniep 77, 1111 AJ Diemen, Netherlands","3dprints.amsterdam","ChIJ93EPVbHjxUcRhBSYIOoCW-E",52.332623,4.9772162
"465","Bijlmerdreef 1188, 1103 JW Amsterdam-Zuidoost, Netherlands","Electronica Ganzenpoort","ChIJbyVJagsMxkcRbJqDkEDNx40",52.3222804,4.9715794
"466","Kruidenhof 10, 1112 PS Diemen, Netherlands","Hengelsport 2000","ChIJmVhAr2YJxkcRAyJoT6Z2Bps",52.3342851,4.9577121
"472","Harriët Freezerstraat 95, 1103 JP Amsterdam, Netherlands","Kay's Shop","ChIJS8MHcQsMxkcRjRrERjuFqvQ",52.3229651,4.9719876
"477","Verrijn Stuartweg 6, 1112 AX Diemen, Netherlands","Monta Juniors","ChIJfTWL4_kLxkcRrE2vrHjDNk0",52.3321711,4.9625854
"480","61b Kruitberghof, 1104 BC, 1104 Amsterdam, Netherlands","Nieuwkoop's Dierenspeciaalzaken","ChIJRYLiom0MxkcR7mr9HyWEqU0",52.316399,4.9774386
"483","Ottho Heldringstraat 31, 1066 AZ Amsterdam, Netherlands","Phone accessory shop","ChIJ4xWxqCDixUcRcJ2gOaeVvI8",52.3486073,4.8326461
"490","Binnenhof 17, 1181 GE Amstelveen, Netherlands","TIMBERLAND Amstelveen","ChIJ8V7OYoAKxkcR4MBbQ_qEiA0",52.3034952,4.8600579
"491","Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands","Hermès","ChIJIcnESSjhxUcRjv4rZQCS3AI",52.3101481,4.7652264
"492","Gelderlandplein 169, 1082 LW Amsterdam, Netherlands","Holland & Barrett","ChIJQXWy8REKxkcR9_3eGi0vBkM",52.330669,4.875956
"493","Amstelveenseweg 974, 1081 JR Amsterdam, Netherlands","MijnFietsReparatie.nl | Mobiele fietsenmaker bij je op locatie","ChIJo2bQf-DhxUcRTMMSfMF-3W8",52.3256918,4.8571865
"494","Binnenhof 31, 1181 ZH Amstelveen, Netherlands","Foot Locker","ChIJuXlYwoAKxkcRGO5kb7sAzsU",52.3022234,4.8617537
"496","Binnenhof 6J, 1181 ZG Amstelveen, Netherlands","Holland & Barrett","ChIJ-_fAk4AKxkcRF6FqV-vUCdw",52.3029655,4.8613173
"497","Amsterdamseweg 132, 1182 HJ Amstelveen, Netherlands","Braaaf Ruitersport","ChIJS3vTJdLhxUcR6Q3urcbsEpE",52.3096032,4.8471056
"498","Johan Huizingalaan 181, 1065 JA Amsterdam, Netherlands","Bulgaria Shop B.V.","ChIJEazybiXixUcREx65JnoYAVo",52.356992,4.827651
"499","Amsterdamseweg 162, 1182 HK Amstelveen, Netherlands","Bink Cycling","ChIJkfh6kNHhxUcRrW5-3zQ7VrU",52.310778,4.847341
"500","Willemsparkweg 37-41, 1071 GP Amsterdam, Netherlands","Suitsupply Amsterdam","ChIJ_5ad2OQJxkcRohRwD3FtuKU",52.3574718,4.8764852
"501","Surinamestraat 7, 1058 GJ Amsterdam, Netherlands","Coffeeshop De Prijs","ChIJv3tp9w_ixUcRNPZG1hfZ3mQ",52.3579042,4.8540336
"502","Osdorpplein 390, 1068 EV Amsterdam, Netherlands","Holland & Barrett","ChIJv2w23tHjxUcROg80-kCI1T8",52.359499,4.805262
"503","Beethovenstraat 33, 1077 HM Amsterdam, Netherlands","Holland & Barrett","ChIJsVujLPgJxkcRtySsk28oxlA",52.348661,4.877612
"504","Cornelis Schuytstraat 21, 1071 JD Amsterdam, Netherlands","Superdry™","ChIJB6hQkfwJxkcRr48rjrHNZkA",52.3553098,4.8714474
"505","Galerij 152, 1181 ZS Amstelveen, Netherlands","Sunglass Hut","ChIJhSGIhasLxkcRs2s3NArHIgw",52.30404,4.86024
"506","Rembrandthof 27, 1181 ZL Amstelveen, Netherlands","Superdry™","ChIJtxDNZIAKxkcRi2BiIKYYCD4",52.3034221,4.8596542
"507","Jan Pieter Heijestraat 96, 1053 GT Amsterdam, Netherlands","Shop 96","ChIJX3pgzwvixUcROyRPGUq8TaE",52.3635633,4.8632737
"508","Zuidermolenweg 60, 1069 CG Amsterdam, Netherlands","G-Star Outlet","ChIJOc1jI-bjxUcR0fqcbwHxSFM",52.3603924,4.7826102
"509","Koninginneweg 224, 1075 EM Amsterdam, Netherlands","Specsavers","ChIJG2BHjQPixUcRUv1DVa62Xck",52.3517669,4.8568854
"510","Havenstraat 3b, 1075 LA Amsterdam, Netherlands","Kilo Shop","ChIJAQgzXgLixUcR5Yf3T--cHXM",52.3486192,4.8552757
"511","Leidseplein 17, 1017 PS Amsterdam, Netherlands","The Bulldog Souvenir Shop","ChIJZeVR8OgJxkcRlaI2PwwplYQ",52.3639744,4.8833402
"512","Pieter Lastmanweg 1-3, 1181 XG Amstelveen, Netherlands","C&A","ChIJ_WxinYAKxkcRluzDwdeQK88",52.3035442,4.8613543
"513","Binnenhof 61-A, 1181 ZJ Amstelveen, Netherlands","Esprit Store","ChIJZ5t7xIAKxkcR4qP4ye0LJ5c",52.3020921,4.861532
"514","Binnenhof 29, 1181 ZH Amstelveen, Netherlands","Specsavers","ChIJZ33Bv4AKxkcROA3k1sedSAo",52.302155,4.862908
"515","Pieter Calandlaan 17, 1065 KH Amsterdam, Netherlands","Avondwinkel UNO","ChIJYcDN-CTixUcRGt_SnIJVgy8",52.3561311,4.8300694
"516","Kalverstraat 66-72, 1012 PG Amsterdam, Netherlands","ZARA","ChIJ83WkIcEJxkcRqu-3v5A_p0o",52.370956,4.891687
"517","Cornelis Schuytstraat 36, 1071 JK Amsterdam, Netherlands","French Connection","ChIJ7x1MjvwJxkcRGYb8_sS4Ir8",52.354735,4.871274
"518","Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands","Victoria's Secret terminal 3","ChIJfSCFDCnhxUcRL6cMxr1z_Go",52.3111979,4.7607481
"519","32-34 Leidsestraat Metz Building, 1017 PB Amsterdam, Netherlands","Abercrombie & Fitch","ChIJa0zo7ukJxkcR3tryAQh8izU",52.3662668,4.8867073
"520","Leidsestraat 1-3, 1017 NS Amsterdam, Netherlands","BOSS Store","ChIJI4xu08EJxkcRo6BKnAwLi10",52.3665327,4.8879652
