"","formatted_address","name","place_id","lat","lng"
"480","Lange Niezel 14, 1012 GT Amsterdam, Netherlands","I Love Amsterdam","ChIJ0bT0ULgJxkcRObgv4gNWPX0",52.3747983,4.8983008
"525","Galgeriet 23, 1141 GD Monnickendam, Netherlands","De Holland Winkel","ChIJJyUy7agFxkcRv-XmfQd__Sc",52.4580527,5.0398646
"534","1141 TZ Monnickendam, Netherlands","My Souvenir Shop","ChIJlRl5JK8FxkcRvh_aBWgxscw",52.4590299,5.0364526
"540","Haven 32, 1131 ES Volendam, Netherlands","Souvenir Store Volendam","ChIJH278MZYExkcRVRB8HUnIAzI",52.4948413,5.0768158
"593","Haven 42, 1131 ES Volendam, Netherlands","Wooden shoe factory","ChIJFTA5MJYExkcRy836zJaYHjM",52.4947059,5.0767624
"594","Haven 68A, 1131 ET Volendam, Netherlands","Bootsman Souveniers","ChIJob3PPpYExkcROzvyR-UmDd0",52.494193,5.0761533
"613","Lepelstraat 1, 2011 RD Haarlem, Netherlands","Onder de Damiaatjes","ChIJLZFzlmvvxUcRpVGZHYu5XCI",52.3812101,4.6364882
"627","Grote Houtstraat 45, 2011 SC Haarlem, Netherlands","De wereld van Jansje","ChIJyVQmAmvvxUcR2_aFa8rtr9c",52.379936,4.6346409
"650","Kruisweg 61, 2011 LB Haarlem, Netherlands","Haarlem Souvenirs","ChIJk7E5kwrvxUcRItMbmWhx6L8",52.3855988,4.6364186
"657","Kennemerboulevard 318, 1976 EH IJmuiden, Netherlands","Groeten uit IJmuiden souvenirs","ChIJewH0Ah3yxUcRroiAZW_oPG4",52.4568748,4.5619579
"660","Penningweg 23, 1507 DB Zaandam, Netherlands","A New Baby","ChIJqYbi7UnjxUcROrfO9uPiOXc",52.4286537,4.7978791
"709","Gedempte Gracht 48, 1506 CH Zaandam, Netherlands","'t Zaanse Huisje","ChIJCVYgWNH8xUcRwCDiR96U8r0",52.439341,4.81983
"720","Damstraat 30, 1012 JM Amsterdam, Netherlands","Continu Souvenirshop","ChIJBQNXU8cJxkcRHc3TJcuVhD0",52.371977,4.8950684
