"","�..HOTELNAAM_2014","NHC_2014","KAM_2014","BED_2014","STRAAT_2014","HUISID_2014","POSTCODE_2014","BRTK10","unesco","Soort_hotel_hostel..jeugdherberg","lat","lon"
"383","HOLIDAY INN EXPRESS AMSTERDAM SOUTH","3",80,128,"ZWAANSVLIET","20","1081AP","K90d","","hotel",52.325921,"4.8670916"
"384","AMIGO BUDGET HOSTEL","0",24,83,"LINNEAUSSTRAAT","199","1093EP","M29c","","hostel/ jeugdherberg",NA,NA
"385","RAMADA APOLLO AMSTERDAM CENTRE","4",446,892,"STAALMEESTERSLAAN","410","1057PH","F86c","","hotel",52.3679307,"4.8440098"
"386","SKOTEL","0",20,40,"DE KLENCKE","109","1083HH","K91a","","hotel",52.333466,"4.8847117"
"387","MEININGER AMSTERDAM CITY WEST","3",219,749,"ORLYPLEIN","1-67","1043DR","B11f","","hotel",52.38971,"4.8364976"
"388","HOTEL MOSAIC","3",37,114,"1E C HUYGENSSTRAAT","16-A","1054BR","E20b","","hotel",NA,NA
"389","AMADI PARK HOTEL","4",33,60,"1E C HUYGENSSTRAAT","26-G","1054BR","E20b","","hotel",NA,NA
"390","SIR ALBERT HOTEL","4",90,180,"ALBERT CUYPSTRAAT","2,","1072CT","K24d","","hotel",52.3545,"4.887468"
"391","AMSTERDAM IDENTITY APARTMENTS","3",55,88,"BARAJASWEG","10,","1043CP","B11f","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3869796,"4.8338292"
"392","LA CORTE SCONTA","0",3,6,"BRIGANTIJNKADE","20,","1086VB","M35a","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3640484,"4.9851102"
"393","B&B BROUWERSGR8","0",3,6,"BROUWERSGRACHT","8-II","1013GW","A05b","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3791066,"4.8934766"
"394","BASTION HOTEL AMSTERDAM CENTRUM","3",90,180,"HENDRIKJE STOFFELSSTRAAT","60","1058GC","F87b","","hotel",52.3575519,"4.8437328"
"395","SUNHEAD OF 1617","0",3,6,"HERENGRACHT","152","1016BN","A02b","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3746592,"4.8874024"
"396","HOTEL AMBASSADE","4",59,118,"HERENGRACHT","335-353","1016AX","A02c","K","hotel",NA,NA
"397","KEIZERSGRACHT APARTMENTS","0",4,8,"KEIZERSGRACHT","760","1017EZ","A03d","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3776082,"4.8876491"
"398","GOLDEN TULIP AMSTERDAM WEST","4",248,614,"MOLENWERF","1","1014AG","E36a","","hotel",52.3855662,"4.8486773"
"399","HOTEL V NESPLEIN","4",43,86,"NES","49","1012KD","A00d","B","hotel",52.371132,"4.8936421"
"400","PARCK BED & BREAKFAST","0",3,8,"OVERTOOM","251","1054HW","E22b","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3607265,"4.8681958"
"401","HOTEL IRON HORSE","3",37,71,"OVERTOOM","33","1054HB","E22a","","hotel",52.3631575,"4.8774606"
"402","HOTEL ESPRESSO CITY CENTRE","3",68,152,"OVERTOOM","57","1054HC","E22a","","hotel",52.3628838,"4.8765241"
"403","ANDAZ AMSTERDAM PRINSENGRACHT HOTEL","5",122,244,"PRINSENGRACHT","587","1016HT","A02d","K","hotel",52.3679082,"4.8828827"
"404","CENTRAL STATION HOSTEL","0",6,34,"STEENHOUWERSSTEEG","3","1012HJ","A00d","B","hostel/ jeugdherberg",52.3717965,"4.8948654"
"405","HOTEL VOSSIUS VONDELPARK","3",39,80,"VOSSIUSSTRAAT","8","1071AB","K47b","","hotel",52.3611878,"4.8816366"
"406","THE CANAL-HOTEL (AMSTEL HOSPITALITY GROUP)","0",16,32,"WETERINGSCHANS","253","1017XJ","A07h","B","hotel",52.3594698,"4.8959558"
"407","MUSEUM SUITES","0",4,8,"WILLEMSPARKWEG","113","1071GV","K47d","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3565598,"4.8731473"
"408","FLETCHER HOTEL AMSTERDAM","4",120,240,"SCHEPENBERGWEG","50","1105AT","T92e","","hotel",52.2924282,"4.9444726"
"409","Grand Hotel Downtown","4",46,92,"1e C Huygensstr","10A","1054BR","E20b","","hotel",NA,NA
"410","Hotel Room Mate Aitana","4",284,568,"IJDok","6","1013MM","A05a","R","hotel",52.38468495,"4.89410932980969"
"411","The Student Hotel Amsterdam","3",98,196,"Jan van Galenstraat","335","1061AZ","E39b","","hotel",52.372408,"4.8365382"
"412","Faralda NDSM Kraanhotel Amsterdam","0",3,6,"NDSM-plein","78","1033WB","N71d","","hotel",52.3994089,"4.8948433"
"413","Art'Otel Amsterdam","0",107,214,"Prins Hendrikkade","33","1012TM","A01b","B","hotel",52.3776412,"4.8971654"
"414","Prinsenhuis","0",3,6,"Prinsengracht","967","1017KL","A03c","K","hotel",52.3622963,"4.89268"
"415","Isis Hotel","2",22,46,"Spreeuwenpark","17","1021GS","N61b","","hotel",52.3842302,"4.9134102"
"416","Art Bed Breakfast","0",3,6,"Weteringschans","123","1017SC","A07f","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3603297,"4.888797"
"417","Hotel V Lofts","3",6,12,"Weteringschans","138","1018XV","A08a","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3591293,"4.8983818"
"418","B&B Apostrophe","0",3,6,"Geerdinkhof","258","1103RA","T94j","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3261298,"4.982637"
"419","Hampton by Hilton Amsterdam Arena Boulevard","3",260,520,"Hoekenrode","1","1102BR","T93e","","hotel",52.3129926,"4.9477483"
"420","Reijgersbroeck Bed & Breakfast","0",4,8,"Provincialeweg","30","1108AB","T95b","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3110869,"4.9995202"
"421","Brooklyn hotel","4",88,160,"NDSM - Plein","28","1033WB","N71d","","hotel",52.4006296,"4.89378709032153"
